Género;¿Te identificás como LGBT+ (lesbiana, gay, bisexual, transexual, otra minoría sexual)?;Rango Edad;Discapacidad;Máximo nivel de formación;Carrera;¿En qué tipo de universidad estudiaste tu carrera de grado?;País;Provincia donde trabajas;Trabajo;Rubro de la empresa;Cantidad de Empleados;Origen del capital;¿Cuántas personas integran el área de RRHH?;¿En qué puesto trabajás?;Tipo de contratación;¿Cuál es tu función principal en RRHH?;¿Cuántas personas tenés a cargo? (poné 0 si no tenés gente a cargo?;¿Hace cuántos años trabajas en la empresa donde estás? (0 para menos de un año);¿Cuántos años de experiencia tenés en RRHH?;¿Cuál es tu remuneración BRUTA MENSUAL en tu moneda local? (antes de impuestos y deducciones);¿Qué beneficios tenés?;¿Recibís bonos?;¿Tuviste ajustes por inflación en 2020?;¿Cuál fue el porcentaje de aumento acumulado que tuviste en 2020?;Mes del último ajuste;¿Trabajás en proyectos independientes además de tu empleo?;¿Qué sistema de gestión de RRHH usan en tu empresa?;¿Cómo se llama el área en tu empresa?;¿Se podía tomar mate en las oficinas de tu empresa? (antes del COVID-19);¿Te exigieron saber un idioma extranjero (inglés, portugués, etc.) para entrar a trabajar en tu empresa?;¿Qué porcentaje del tiempo usas el idioma extranjero en tu puesto actual?;¿Cuántos contactos tenés en LinkedIn? (poné 0 si no tenés cuenta de LinkedIn);¿Qué tan satisfecho estás con tu empresa?;¿Estás buscando trabajo?;¿Qué beneficios te gustaría tener?;Definí a RRHH con una sola palabra;¿Cuál es la pregunta más bizarra que te han hecho/has hecho en una entrevista?;¿Estás trabajando desde tu casa?;¿Qué elementos te proveyó la empresa para que puedas trabajar desde tu casa?;¿Cómo valorarías la gestión de tu empresa en este nuevo contexto?;¿Cómo estás registrado/a fiscalmente?;¿Hace cuántos años trabajás como freelance?;¿Dónde trabajás habitualmente? (sin considerar la coyuntura por COVID-19);¿Exportás tus servicios?;Si exportás servicios, ¿a través de qué medios de pago recibís los pagos del exterior?;¿Aceptás pagos en cuotas?;¿Trabajás con otros freelancers de tu mismo rubro?;¿Tu servicio principal está relacionado con búsqueda y selección?;¿Te dedicás principalmente a realizar búsquedas de IT/Tecnología?;¿Trabajás a riesgo?;¿Cuál es el coeficiente que cobrás por tus servicios?;El coeficiente lo calculás sobre:;¿Ofrecés garantía?;¿Cuál es el servicio principal que brindas? (si brindás más de un servicio, elegí el que más ingresos genere);¿Cuál es el valor hora promedio que ofrecés? (moneda local)
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Petróleo y producción de gas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;Si;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;Entre 101 y 250;Multinacional;7;Analista;Tercerizado / Outsourced;Payroll / Liquidación de sueldos;2;2;2;65500;Medicina prepaga / Plan de salud, Horarios flexibles, Licencias extendidas, Frutas y snacks, Seguro de vida (adicionales a los de ley), Idiomas, Home office;No recibo bono;2 ajustes;40;Agosto;No;RH Pro;Recursos Humanos;Si, está permitido;No;30%;1453;3;No,  pero escucho ofertas;Posgrado;Guía;No recuerdo;Si;Computadora / Laptop, Silla ergonómica;3;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Otros;Entre 101 y 250;Multinacional;1;Responsable;Full time;Administración de personal;0;2;6;72000;Medicina prepaga / Plan de salud, Seguro de vida (adicionales a los de ley), Comedor / Almuerzos;No recibo bono;1 solo;20;Agosto;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;Si;Entre 31 y 35;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;No estudié en la Universidad;Argentina;Buenos Aires;Relación de Dependencia;Terminales automotrices, fábricas autopartistas, y afines;Entre 51 y 100;Nacional;2;Responsable;Full time;Generalista;1;3;5;48192;Horarios flexibles, Préstamos, Combustible, Comedor / Almuerzos;No recibo bono;No tuve ajustes;0;Enero;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;700;4;No,  pero escucho ofertas;Obra social;;;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Relación de Dependencia;Transporte (incluyendo aviación civil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;La Rioja;Relación de Dependencia;Función pública;Entre 2.501 y 5.000;Nacional;3;Analista;Full time;Generalista;0;1;7;38;Horarios flexibles;Menos de un sueldo;1 solo;15;Octubre;No;No tenemos sistema de gestión;Oficina de Personal;Si, está permitido;No;0%;1000;3;No,  pero escucho ofertas;Gimnasio, descuentos;Placer;;No;No estoy trabajando en home office;2;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Más de 10.000;Nacional;150;Analista;Full time;People Analytics;0;0;7;110000;Medicina prepaga / Plan de salud, Abono de internet, Idiomas, Home office;No recibo bono;2 ajustes;50;Octubre;No;SAP / SuccessFactors;Talent & Culture;Si, está permitido;No;10%;12000;2;Sí, activamente;Cobro en dólares;Complejidad;No me acuerdo;Si;Computadora / Laptop, Abono de internet;5;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Uruguay;;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 51 y 100;Nacional;4;HRBP;Full time;Reclutamiento y selección;0;0;6;56000;Horarios flexibles, Frutas y snacks, Idiomas, Home office, Comedor / Almuerzos;No recibo bono;No tuve ajustes;0;;No;Microsoft Dynamics;Talento Humano;Si, está permitido;Si;0%;3000;3;Sí, activamente;;Talento;a esta edad aún no piensas en tener hijos ?;Si;Kit sanitizante;4;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;Entre 251 y 500;Nacional;3;HRBP;Full time;Generalista;1;7;7;105000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Abono de celular, Comedor / Almuerzos;No recibo bono;1 solo;17;Agosto;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;Si;50%;100;3;Sí, activamente;;Empatía ;¿Qué siento al viajar en transporte público? ;No;No estoy trabajando en home office;4;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría completa;Ingeniería Comercial;Universidad Privada;Chile;;Relación de Dependencia;Bancos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 41 y 45;Prefiero no responder;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Jujuy;Relación de Dependencia;Otros;Entre 251 y 500;Nacional;5;Responsable;Full time;Capacitación y desarrollo;0;15;5;75000;Vacaciones extendidas, Home office;No recibo bono;1 solo;10;Julio;Si, en emprendimiento relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;30%;;4;No,  pero escucho ofertas;;personas;no quiere pensarlo bien?;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Chaco;Relación de Dependencia;Otros;Entre 1.001 y 2.500;Nacional;8;HRBP;Full time;Payroll / Liquidación de sueldos;5;2;8;50000;Medicina prepaga / Plan de salud, Home office;No recibo bono;No tuve ajustes;0;Marzo;No;Tango;Recursos Humanos;Si, está permitido;No;0%;120;3;Sí, activamente;Horarios flexibles;Empatía ;;Si;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Agricultura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Maestría en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Otros;Entre 101 y 250;Nacional;4;Jefe;Full time;Generalista;3;0;18;75000;Horarios flexibles, Frutas y snacks, Préstamos, Home office;No recibo bono;2 ajustes;30;Julio;Si, en emprendimiento relacionado con RRHH;Bejerman;Recursos Humanos;Si, está permitido;No;20%;500;4;No,  pero escucho ofertas;Bonos por objetivos;Empatia;No recuerdo;No;Computadora / Laptop;4;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Jujuy;Relación de Dependencia;Minería (carbón, otra minería);Entre 251 y 500;Multinacional;10;HRBP;Full time;Capacitación y desarrollo;0;2;12;85000;Medicina prepaga / Plan de salud, Gimnasio, Reintegros en capacitación, Comedor / Almuerzos;Un sueldo;1 solo;30;Mayo;No;Nucleus;Desarrollo de Personas;Si, está permitido;No;0%;120;2;Sí, activamente;Horario flexible;;;;;;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Comercio;Entre 51 y 100;Nacional;2;Administrativo;Part time;Administración de personal;0;0;1;30000;Medicina prepaga / Plan de salud, Comedor / Almuerzos;No recibo bono;1 solo;5;Marzo;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;40%;205;4;No,  pero escucho ofertas;Home office ;Atención ;Mi signo ;Si;No me enviaron ni reintegraron nada;4;;;;;;;;;;;;;;;
Femenino;No;Entre 46 y 50;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Santa Fe;Relación de Dependencia;Servicios de salud;Hasta 51;Nacional;1;Responsable;Full time;Administración de personal;0;7;15;60000;No tengo beneficios adicionales;No recibo bono;1 solo;10;Julio;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;;150;3;Sí, activamente;Obra Social. Home office. Horario fexible;Humanos;;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;Administración de Empresas;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 51 y 55 años;No tengo ninguna discapacidad;Maestría completa;Psicología;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;Prefiero no responder;Mayor de 55;No tengo ninguna discapacidad;Maestría completa;Caomunicacion social me especialice en RRHH;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Silvicultura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 1.001 y 2.500;Nacional;11;Administrativo;Full time;Administración de personal;0;3;3;58000;Medicina prepaga / Plan de salud, Frutas y snacks, Seguro de vida (adicionales a los de ley), Préstamos, Comedor / Almuerzos;No recibo bono;1 solo;2.5;Abril;Si, en emprendimiento no relacionado con RRHH;RH Pro;Servicio atención al empleado ;Si, está permitido;No;0%;1000;3;No,  pero escucho ofertas;Dias extra de vacaciones. Clases de  idiomas;Evolución;No siento que haya tenido preguntas bizarras ;Si;No me enviaron ni reintegraron nada;4;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;Hasta 51;Nacional;5;Consultor Ejecutivo;Full time;Reclutamiento y selección;0;3;6;39000;Medicina prepaga / Plan de salud, Abono de celular;No recibo bono;No tuve ajustes;7;Febrero;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;20%;1250;2;Sí, activamente;Homeoffice, bono, día del cumpleaños;Constancia;"No pregunta, pero si fui a una entrevista de 1 hora de camino y la reclutadora me ""entrevistó"" 10 minutos y ni me vio a la cara porque estaba ""tomando notas""";Si;Computadora / Laptop, Silla ergonómica, Abono de celular;4;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Privada;Argentina;Corrientes;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;7;Cowork;No;Transferencia a tu cuenta;Si, frecuentemente;Si;No;;;;;;Bienestar ;800
Masculino;No;Entre 46 y 50;No tengo ninguna discapacidad;Universitario abandonado;Administración de Empresas;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;Más de 10.000;Nacional;350;Gerente;Full time;Diseño organizacional;14;6;18;145000;Horarios flexibles;No recibo bono;No tuve ajustes;0;Enero;No;SAP / SuccessFactors;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Industrias químicas;Entre 101 y 250;Nacional;2;Jefe;Full time;Relaciones laborales;0;1;15;140000;Medicina prepaga / Plan de salud, Abono de celular, Combustible, Comedor / Almuerzos;No recibo bono;1 solo;12;Septiembre;No;No tenemos sistema de gestión;Recursos Humanos;No, está prohibido;No;0%;500;4;No estoy buscando cambiar;Generar una Politica de Bonos /m;Empatia ;;Si;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Santa Fe;Relación de Dependencia;Construcción;Hasta 51;Nacional;1;Responsable;Full time;Payroll / Liquidación de sueldos;0;1;12;61000;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;10;Enero;No;Bejerman;Oficina de Personal;Si, está permitido;No;0%;300;1;Sí, activamente;Prepaga. Homeoffice. Días extras de vac. Flexibilidad horaria ;Personas ;No recuerdo ;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Otros;Entre 101 y 250;Nacional;5;Generalista;Full time;Generalista;0;16;9;60000;Medicina prepaga / Plan de salud, Abono de celular, Comedor / Almuerzos;No recibo bono;2 ajustes;15;Abril;Si, en proyectos ad honorem;RH Pro;Recursos Humanos;Si, está permitido;No;0%;900;3;Sí, activamente;Prepaga, comedor, viaticos;Cultura;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;Hasta 51;Multinacional;2;Asistente RRHH;Full time;Reclutamiento y selección;0;4;3;55000;Horarios flexibles;Menos de un sueldo;No tuve ajustes;0;Diciembre;Si, en proyectos ad honorem;Gecom;Selección y Consultoría;Si, está permitido;No;0%;546;3;Sí, activamente;Capacitaciones;Diversidad;No recuerdo.;Si;Computadora / Laptop;2;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios profesionales;Entre 101 y 250;Nacional;6;Responsable;Full time;Reclutamiento y selección;1;2;14;110000;Medicina prepaga / Plan de salud, Frutas y snacks, Abono de celular, Reintegros en capacitación, Idiomas, Home office;Un sueldo;1 solo;15;Agosto;No;Odoo;Recursos Humanos;Si, está permitido;No;10%;12000;4;No,  pero escucho ofertas;Internet - flexibilidad horaria ;Facilitador;Que cuente detalles de un aborto intrauterino. ;Si;Computadora / Laptop;2;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Servicios de consultoría;Entre 101 y 250;Multinacional;3;HRBP;Full time;Generalista;2;2;8;101000;Medicina prepaga / Plan de salud, Gimnasio, Seguro de vida (adicionales a los de ley), Combustible, Idiomas, Charter / Servicio de transporte;Un sueldo;2 ajustes;20;Octubre;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;10%;500;2;No,  pero escucho ofertas;Home office vacaciones en días hábiles ;Pasión ;Que diría una persona cercana de vos?;Si;Silla ergonómica;2;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 251 y 500;Nacional;5;Analista;Full time;Generalista;0;3;10;109000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Comedor / Almuerzos;No recibo bono;2 ajustes;20;Septiembre;No;No tenemos sistema de gestión;Recursos Humanos;No, está prohibido;No;0%;1000;3;No estoy buscando cambiar;Bono, licencias prolongadas, idiomas;Partner;No recuerdo;Si;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Masculino;No;Entre 46 y 50;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 501 y 1.000;Nacional;10;Gerente;Full time;Administración de personal;10;0;18;200000;Medicina prepaga / Plan de salud, Horarios flexibles, Charter / Servicio de transporte;Menos de un sueldo;1 solo;19;Agosto;No;Bejerman;Recursos Humanos;Si, está permitido;No;0%;900;4;No,  pero escucho ofertas;Home Office;Servicios;Porque nunca trabajé en empresas de envergadura?;No;No estoy trabajando en home office;3;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Córdoba;Relación de Dependencia;Terminales automotrices, fábricas autopartistas, y afines;Entre 501 y 1.000;Multinacional;15;HRBP;Full time;Generalista;0;7;7;85000;Medicina prepaga / Plan de salud, Horarios flexibles, Frutas y snacks, Reintegros en capacitación, Idiomas, Home office, Comedor / Almuerzos;Menos de un sueldo;2 ajustes;13;Julio;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;Si;20%;600;5;No,  pero escucho ofertas;;;;Si;Computadora / Laptop, Silla ergonómica;5;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Función pública;Entre 101 y 250;Nacional;10;Responsable;Full time;Capacitación y desarrollo;1;7;10;52000;Horarios flexibles, Vacaciones extendidas, Posgrados, Home office;Dos sueldos;1 solo;7;Septiembre;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;400;4;No estoy buscando cambiar;;;;Si;Silla ergonómica;3;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;Auditiva;Terciario en curso;No estudié en la Universidad;No estudié en la Universidad;Argentina;Buenos Aires;Relación de Dependencia;Terminales automotrices, fábricas autopartistas, y afines;Entre 501 y 1.000;Nacional;10;Analista;Full time;Administración de personal;0;10;10;60200;No tengo beneficios adicionales;No recibo bono;1 solo;10;Julio;No;Meta4;Recursos Humanos;No, está prohibido;No;0%;900;4;Sí, activamente;Prepaga;Acción;Qué super héroe me gustaría ser.;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;4;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Secundario en curso;Ninguna;No estudié en la Universidad;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Hotelería, restauración, turismo;Entre 101 y 250;Nacional;1;Jefe;Full time;Administración de personal;1;7;11;120000;Medicina prepaga / Plan de salud, Horarios flexibles, Seguro de vida (adicionales a los de ley), Préstamos, Home office;No recibo bono;1 solo;10;Enero;Si, en emprendimiento no relacionado con RRHH;ITRIS;Adm de personal;Si, está permitido;No;0%;1;4;No estoy buscando cambiar;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;Marketing;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Hotelería, restauración, turismo;Entre 2.501 y 5.000;Multinacional;100;Analista;Full time;People Analytics;0;0;1;90000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Frutas y snacks, Home office, Comedor / Almuerzos;Dos sueldos;2 ajustes;29;Agosto;No;Enlatado propio;Recursos Humanos;Si, está permitido;Si;0%;1000;5;No estoy buscando cambiar;;;;Si;Computadora / Laptop, Silla ergonómica;4;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario en curso;Administración de Empresas;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Servicios financieros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 41 y 45;No tengo ninguna discapacidad;Maestría abandonada;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 51 y 100;Nacional;3;Analista;Part time;People Analytics;0;0;14;48000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Vacaciones extendidas, Licencias extendidas, Gimnasio, Frutas y snacks, Reintegros en capacitación, Home office;Menos de un sueldo;2 ajustes;20.7;Agosto;Si, en emprendimiento relacionado con RRHH;Workday;Talento Humano;Si, está permitido;No;10%;10300;5;No estoy buscando cambiar;Estacionamiento;Oportunidad;Cuál es el indicador más importante que tiene que medir una empresa?;Si;Computadora / Laptop, Silla ergonómica;5;;;;;;;;;;;;;;;
Femenino;Prefiero no responder;Entre 46 y 50;No tengo ninguna discapacidad;Terciario abandonado;Literatura;No estudié en la Universidad;Argentina;Buenos Aires;Relación de Dependencia;Bancos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
